Marca,Tipo,Modelos,Trasera,Delantera
Bajaj,Dominar,Dominar-D400,  150/60 R17 66S,  110/70 R17 54S
Bajaj,Dominar,Dominar-D250,"  130/70 R17, 62P, sin cámara","  100/80 R17, 52P, sin cámara"
Bajaj,Pulsar,Pulsar-N-250,"  130/70- 17"", 62P SIN CÁMARA","  100/80 -17"", 52P SIN CÁMARA"
Bajaj,Pulsar,Pulsar-RS-200,"  130/70 - r17"", 61P sin cámara","  100/80 - r17"", 52P sin cámara"
Bajaj,Pulsar,Pulsar-NS-200-FI,"  130/70-R17""","  100/80-R17"""
Bajaj,Pulsar,Pulsar-NS-200-FI-ABS,"  130/70-R17""","  100/80-R17"""
Bajaj,Pulsar,Pulsar-NS-200,"  100/70-R17"", 61P sin cámara","  100/80-R17"", 52P sin cámara"
Bajaj,Pulsar,Pulsar-NS-160-TD,"  120/80-R17"", 61P sin cámara","  90/90-R17"", 49P sin cámara"
Bajaj,Pulsar,Pulsar-150-Neon,"  100/90-R17"", 55P","  80/100-R17"", 46P"
Bajaj,Pulsar,Pulsar-NS-125,"  100/90 X 17""","  2.75 X 17"""
Bajaj,Avenger,Cruise-220,"  130/90-R15"" 66P","  90/90-R17"" 49P"
Bajaj,Platina,Platina-100,"  3.00 X 17"" 50P","  2.75x 17"" 41P"
Bajaj,Boxer,Boxer-BM150,"  100/90 - 17, 55P","  3.00- 17"", 45P"
Bajaj,Discover,Discover-125-ST,"  3.0 - 17, 50P unidireccional","  2.75 - 17"", 41P unidireccional"
