Marca,Tipo,Modelos,Trasera,Delantera
Italika,Trabajo,AT110,2.75-R17,2.50-R17
Italika,Trabajo,AT110LT,2.75 - 17,2.50 - 17
Italika,Trabajo,AT110RT,2.75 - R17,2.50 - R17
Italika,Trabajo,AT125,2.75 - R17,2.50 - R17
Italika,Trabajo,AT125RT,2.75-R17,2.50-R17
Italika,Trabajo,DT110DELIVERY,2.75 - R17,2.50-R17
Italika,Trabajo,DT125DELIVERY,3.00- R18,2.50-R18
Italika,Trabajo,DT150DELIVERY,3.00- R18,2.50 - R18
Italika,Trabajo,DT150CLASICA,3.00-R18,2.50-R18
Italika,Trabajo,DT150SPORT,3.00-R18,2.75-R18
Italika,Trabajo,FT125,2.75-R17,2.50-R17
Italika,Trabajo,FT125TS,3.00-R18,2.50-R18
Italika,Trabajo,FT150,2.75 - R17,2.50 - R17
Italika,Trabajo,FT150TS,3.00 - R18,2.50 - R18
Italika,Trabajo,FT150G,3.00 - R18,2.75-R18
Italika,Trabajo,FT150GTS,3.00 - R18,2.75 - R18
Italika,Trabajo,FT180TS,3.00 - R18,2.75 - R18
Italika,Trabajo,FT200TS,3.25 - R18,2.75 - R18
Italika,Trabajo,FT250TS,110/80-R18,80/90-R18
Italika,Trabajo,125FL,3.00-R17 Pirelli,2.75-R17 Pirelli
Italika,Trabajo,FT150 HEAVY DUTY,3.25-R18,2.75-R18
Italika,Motoneta,D125,3.50 - R10,3.50 - R10
Italika,Motoneta,D125LT,3.00-10,3.00-10
Italika,Motoneta,D150,3.50-R10,3.50-R10
Italika,Motoneta,D150LT,3.50-R10,3.50-R10
Italika,Motoneta,DS150,130/60-R13,130/60-R13
Italika,Motoneta,DS150G,130/60-R13,130/60-R13
Italika,Motoneta,MODENA125,3.50 -R10,3.5 -R10
Italika,Motoneta,MODENA175,130/70-12,120/70-12
Italika,Motoneta,VITALIA150,120/70-R12,120/70-R12
Italika,Motoneta,W150,130/90-R10,120/90-R10
Italika,Motoneta,WS150SPORT,130/90-R10,120/90-R10
Italika,Motoneta,WS175SPORT,130/90-R10,120/90-R10
Italika,Motoneta,X125,3.50-R10,3.50-R10
Italika,Motoneta,X150,130/60-R13,130/60-R13
Italika,Motoneta,X150D,3.50-R10,3.50-R10
Italika,Motoneta,X150G,130/60-R13,130/60-R13
Italika,Motoneta,XW150,130/90 - R10,120/90 - R10
Italika,LineaZ,250SZ,130/70-R17,100/80-R17
Italika,LineaZ,125Z,90/90-R17,2.75-R17
Italika,LineaZ,150Z,120/70–R17,80/90–R17
Italika,LineaZ,200Z,120/70 - R17,80/90 - R17
Italika,LineaZ,250Z,140/60-R17,110/70-R17
Italika,Deportiva,RT200,130/70-R17,90/80-R17
Italika,Deportiva,RT250,140/70-R17,110/70-R17
Italika,DobleProposito,DM150,110/90-R17,90/90-R19
Italika,DobleProposito,DM200,120/80-R18,80/100-R21
Italika,DobleProposito,DM250,120-80-R18,80-100-R21
Italika,DobleProposito,DM250X,4.10 - 18,3.00 - 21
Italika,Chopper,RC125,3.50-R16,2.75-R18
Italika,Chopper,RC150,110/90-R16,2.75-R18
Italika,Chopper,RC200,110/90-R16,3.00-R18
Italika,Chopper,TC250,130/90-R15,110/90-R16
Italika,Adventure,V200,120/80-R17,100/80-R17
Italika,Adventure,VX250,130/70-15,100/90-18
Italika,VortX,VORT-X250,140/60-R17,100/80-R17
Italika,VortX,VORT-X300,150/60-R17,110/70-R17
Italika,VortX,VORT-X300R,150/60-R17,110/70-R17
Italika,CafeRacer,BLACKBIRD,130-70-R17,100-80-R17
Italika,CafeRacer,BLACKBIRD250,130-70-R17,100-80-R17
Italika,CafeRacer,SPTFIRE,120/70-R17,80/90-R17
Italika,CafeRacer,SPTFIRE250,130/70-R17,90/90-R17
Italika,Crossover,BIT150,3.50 -R10,90/90-R12
